Poema de Gilgamesh ;An¢nimo ;Siglo XX a. C. ;Sumeria e Imperio acadio ;Acadio 
Libro de Job (de la Biblia) ;An¢nimo ;Siglo VI a. C. - IV a. C. ;Imperio aquemÇnida ;Hebreo 
Las mil y una noches ;An¢nimo ;700-1500 ;India/Ir†n/Irak/Egipto ;µrabe 
Saga de Nj†l ;An¢nimo ;Siglo XIII ;Islandia ;N¢rdico antiguo 
Todo se desmorona ;Chinua Achebe ;;Nigeria ;InglÇs 
Cuentos infantiles ;Hans Christian Andersen ;1835-37 ;Dinamarca ;DanÇs 
Divina Comedia ;Dante Alighieri ;1265-1321 ;Italia ;Italiano 
Orgullo y prejuicio ;Jane Austen ;;Reino Unido ;InglÇs 
Pap† Goriot ;HonorÇ de Balzac ;;Francia ;FrancÇs 
Molloy, Malone muere, El Innombrable, una trilog°a ;Samuel Beckett   ;1951-53 ;Irlanda ;FrancÇs, InglÇs 
Decamer¢n ;Giovanni Boccaccio ;1349-53 ;R†vena ;Italiano 
Ficciones ;Jorge Luis Borges ;1944-86 ;Argentina ;Espa§ol 
Cumbres Borrascosas ;Emily Brontâ ;;Reino Unido ;InglÇs 
El extranjero ;Albert Camus   ;;Argelia, Imperio francÇs ;FrancÇs 
Poemas ;Paul Celan ;;Ruman°a, Francia ;Alem†n 
Viaje al fin de la noche ;Louis-Ferdinand CÇline ;;Francia ;FrancÇs 
Don Quijote de la Mancha ;Miguel de Cervantes ;1605 (1¶ parte), 1615 (2¶ parte) ;Espa§a ;Espa§ol 
Los cuentos de Canterbury ;Geoffrey Chaucer ;siglo XIV ;Inglaterra ;InglÇs 
Relatos cortos ;Ant¢n ChÇjov ;;Rusia ;Ruso 
Nostromo ;Joseph Conrad ;;Reino Unido ;InglÇs 
Grandes Esperanzas ;Charles Dickens ;;Reino Unido ;InglÇs 
Jacques el fatalista ;Denis Diderot ;;Francia ;FrancÇs 
Berlin Alexanderplatz ;Alfred Dîblin ;;Alemania ;Alem†n 
Crimen y castigo ;Fi¢dor Dostoievski ;;Rusia ;Ruso 
El idiota ;Fi¢dor Dostoievski ;;Rusia ;Ruso 
Los endemoniados ;Fi¢dor Dostoievski ;;Rusia ;Ruso 
Los hermanos Karamazov ;Fi¢dor Dostoievski ;;Rusia ;Ruso 
Middlemarch ;George Eliot ;;Reino Unido ;InglÇs 
El hombre invisible ;Ralph Ellison ;;Estados Unidos ;InglÇs 
Medea ;Eur°pides ;431 a. C. ;Imperio ateniense ;Griego cl†sico 
≠Absalom, Absalom! ;William Faulkner   ;;Estados Unidos ;InglÇs 
El ruido y la furia ;William Faulkner   ;;Estados Unidos ;InglÇs 
Madame Bovary ;Gustave Flaubert ;;Francia ;FrancÇs 
La educaci¢n sentimental ;Gustave Flaubert ;;Francia ;FrancÇs 
Romancero gitano ;Federico Garc°a Lorca ;;Espa§a ;Espa§ol 
Cien a§os de soledad ;Gabriel Garc°a M†rquez   ;;Colombia ;Espa§ol 
El amor en los tiempos del c¢lera ;Gabriel Garc°a M†rquez   ;;Colombia ;Espa§ol 
Fausto ;Johann Wolfgang von Goethe ;;Ducado de Sajonia-Weimar, Alemania ;Alem†n 
Almas muertas ;Nikolai Gogol ;;Ucrania ;Ruso 
El tambor de hojalata ;GÅnter Grass   ;;Alemania Occidental ;Alem†n 
Gran Sert¢n: Veredas ;Jo∆o Guimar∆es Rosa ;;Brasil ;PortuguÇs 
Hambre ;Knut Hamsun   ;;Noruega ;Noruego 
El viejo y el mar ;Ernest Hemingway   ;;Estados Unidos ;InglÇs 
Il°ada ;Homero ;850-750 a. C. ;Probablemente Esmirna ;Griego antiguo 
Odisea ;Homero ;siglo VIII a. C. ;Probablemente Esmirna ;Griego antiguo 
Casa de mu§ecas ;Henrik Ibsen ;;Noruega ;Noruego 
Ulises ;James Joyce ;;Estado Libre IrlandÇs ;InglÇs 
Relatos cortos ;Franz Kafka ;;Rep£blica de Checoslovaquia ;Alem†n 
El proceso ;Franz Kafka ;;Rep£blica de Checoslovaquia ;Alem†n 
El castillo ;Franz Kafka ;;Rep£blica de Checoslovaquia ;Alem†n 
Shakuntala ;K?lid?sa ;siglo I a. C.-IV d. C. ;India ;S†nscrito 
El sonido de la monta§a ;Yasunari Kawabata   ;;Jap¢n ;JaponÇs 
Zorba, el griego ;Nikos Kazantzakis ;;Grecia ;Griego moderno 
Hijos y amantes ;D. H. Lawrence ;;Reino Unido ;InglÇs 
Gente independiente ;Halld¢r Laxness   ;1934-35 ;Islandia ;IslandÇs 
Poemas ;Giacomo Leopardi ;;Italia ;Italiano 
El cuaderno dorado ;Doris Lessing   ;;Reino Unido ;InglÇs 
Pippi Calzaslargas ;Astrid Lindgren ;;Suecia ;sueco 
Diario de un loco ;Lu Xun ;;China ;Chino 
Hijos de nuestro barrio ;Naguib Mahfuz   ;;Egipto ;µrabe 
Los Buddenbrook ;Thomas Mann   ;;Alemania ;Alem†n 
La monta§a m†gica ;Thomas Mann   ;;Alemania ;Alem†n 
Moby-Dick ;Herman Melville ;;Estados Unidos ;InglÇs 
Ensayos ;Michel de Montaigne ;;Francia ;FrancÇs 
La historia ;Elsa Morante ;;Italia ;Italiano 
Beloved ;Toni Morrison   ;;Estados Unidos ;InglÇs 
Genji Monogatari ;Murasaki Shikibu ;siglo XI ;Jap¢n ;JaponÇs 
El hombre sin atributos ;Robert Musil ;1930-32 ;Austria ;Alem†n 
Lolita ;Vladimir Nabokov ;;Estados Unidos ;InglÇs 
1984 ;George Orwell ;;Reino Unido ;InglÇs 
Las metamorfosis ;Ovidio ;siglo I dC ;Imperio romano ;Lat°n cl†sico 
Libro del desasosiego ;Fernando Pessoa ;;Portugal ;PortuguÇs 
Cuentos ;Edgar Allan Poe ;siglo XIX ;Estados Unidos ;InglÇs 
En busca del tiempo perdido ;Marcel Proust ;1913-27 ;Francia ;FrancÇs 
Gargant£a y Pantagruel ;Franáois Rabelais ;1532-34 ;Francia ;FrancÇs 
Pedro P†ramo ;Juan Rulfo ;;MÇxico ;Espa§ol 
Masnavi ;Rumi ;1258-73 ;Persia, Imperio mongol ;persa 
Hijos de la medianoche ;Salman Rushdie ;;India ;InglÇs 
Bostan ;Saadi ;;Persia, Imperio mongol ;persa 
Tiempo de migrar al norte ;Tayeb Salih ;;Sud†n ;µrabe 
Ensayo sobre la ceguera ;JosÇ Saramago   ;;Portugal ;PortuguÇs 
Hamlet ;William Shakespeare ;;Inglaterra ;InglÇs 
El rey Lear ;William Shakespeare ;;Inglaterra ;InglÇs 
Otelo ;William Shakespeare ;;Inglaterra ;InglÇs 
Edipo rey ;S¢focles ;430 a. C. ;Imperio ateniense ;Griego cl†sico 
Rojo y negro ;Stendhal ;;Francia ;FrancÇs 
Vida y opiniones del caballero Tristram Shandy ;Laurence Sterne ;;Inglaterra ;InglÇs 
La conciencia de Zeno ;Italo Svevo ;;Italia ;Italiano 
Los viajes de Gulliver ;Jonathan Swift ;;Irlanda ;InglÇs 
Guerra y paz ;Lev Tolst¢i ;1865-1869 ;Rusia ;Ruso 
Ana Karenina ;Lev Tolst¢i ;;Rusia ;Ruso 
La muerte de Iv†n Ilich ;Lev Tolst¢i ;;Rusia ;Ruso 
Las aventuras de Huckleberry Finn ;Mark Twain ;;Estados Unidos ;InglÇs 
Ramayana ;Valmiki ;siglo III a. C.-siglo III d. C. ;India ;S†nscrito 
Eneida ;Virgilio ;29-19 a. C. ;Imperio romano ;lat°n cl†sico 
Mahabh†rata ;Viasa ;siglo IV a.C. ;India ;S†nscrito 
Hojas de hierba ;Walt Whitman ;;Estados Unidos ;InglÇs 
La se§ora Dalloway ;Virginia Woolf ;;Reino Unido ;InglÇs 
Al faro ;Virginia Woolf ;;Reino Unido ;InglÇs 
Memorias de Adriano ;Marguerite Yourcenar ;;Francia ;FrancÇs
